volgnr,lat,lon,kwp
752,52.365768,4.839816,10080
753,52.374766,4.93153,6480
754,52.353604,4.860764,2258
755,52.421644,4.897487,2258
756,52.298717,4.990082,2258
757,52.362149,4.976259,3600
758,52.364815,4.828229,3360
759,52.336655,4.933006,23520
760,52.374157,4.819492,2258
761,52.325815,4.982139,2258
762,52.345965,4.783603,2258
763,52.401152,4.947906,2258
764,52.350086,4.884773,3840
765,52.373669,4.945638,720
766,52.352161,4.78073,2258
767,52.298027,4.996084,2258
768,52.418988,4.89634,2258
769,52.402474,4.906456,2258
770,52.324998,4.96453,2258
771,52.357086,4.991131,2258
772,52.356311,4.998683,2258
773,52.350235,4.812826,1440
774,52.419066,4.902146,21840
775,52.30319,4.968432,2258
776,52.380655,4.85849,6240
777,52.350456,4.885297,11520
778,52.354138,4.908491,2258
779,52.327503,4.979146,3840
780,52.356578,4.995114,3360
781,52.29907,4.964923,6720
782,52.395365,4.915407,2258
783,52.407113,4.911138,10320
784,52.348461,4.783129,2258
785,52.291277,4.977631,2258
786,52.350904,4.870292,15360
787,52.348287,4.818912,2258
788,52.319904,4.962423,2258
789,52.410002,4.898879,2258
790,52.356898,4.994025,2258
791,52.356862,4.993981,2258
792,52.374013,4.948821,2258
793,52.383681,4.795193,2258
794,52.360704,4.981924,2258
795,52.328945,4.980395,2258
796,52.364687,4.942277,480
797,52.348211,4.946625,14160
798,52.382215,4.800236,4560
799,52.348001,4.788169,2258
800,52.407281,4.924259,2258
801,52.351137,4.938391,720
802,52.327859,4.978233,2258
803,52.35287,4.857441,2258
804,52.423989,4.890846,2258
805,52.354701,4.80151,2258
806,52.348012,4.792073,2258
807,52.383068,4.800151,2258
808,52.321826,4.980152,2258
809,52.416537,4.875745,2400
810,52.347205,4.80877,2258
811,52.382612,4.789832,2258
812,52.371445,4.942312,2258
813,52.308055,4.961597,2258
814,52.320192,4.980665,0
815,52.326957,4.979826,2258
816,52.289071,4.97368,2258
817,52.352113,4.774963,2258
818,52.346033,4.791732,2258
819,52.32719,4.979545,2258
820,52.3488,4.77743,2258
821,52.342779,4.824705,2258
822,52.344548,4.805767,8640
823,52.368276,4.830403,2258
824,52.350598,4.772298,2258
825,52.36155,4.825892,2258
826,52.347386,4.781984,2258
827,52.376805,4.82451,2258
828,52.350178,4.885271,7680
829,52.344006,4.907632,720
830,52.417612,4.876909,2258
831,52.380909,4.858884,5040
832,52.417096,4.897464,2258
833,52.298891,4.965057,6480
834,52.416689,4.885988,2258
835,52.326328,4.865297,2258
836,52.3289,4.980292,2258
837,52.3543,4.803995,2258
838,52.299614,4.968788,2258
839,52.399397,4.954624,2258
840,52.36477,4.875916,1440
841,52.301995,4.968458,2258
842,52.36204,4.97601,2258
843,52.348218,4.881037,0
844,52.349566,4.878703,2258
845,52.357714,4.921664,2258
846,52.354415,4.80552,2258
847,52.35936,4.991199,3120
848,52.390222,4.954919,2258
849,52.383577,4.836982,2258
850,52.343072,4.807298,2258
851,52.352757,4.804647,2258
852,52.325068,4.860911,2258
853,52.357907,4.992049,2258
854,52.327864,4.982341,2258
855,52.30351,4.964983,2258
856,52.35376,4.820706,2258
857,52.348424,4.790115,0
858,52.354038,4.820468,2258
859,52.367212,4.83532,11040
860,52.345471,4.890152,1200
861,52.361738,4.934966,10080
862,52.405763,4.910697,15600
863,52.408798,4.925934,2258
864,52.387016,4.94812,720
865,52.353486,4.936885,2400
866,52.367468,4.86405,480
867,52.327596,4.977458,2258
868,52.300841,4.996514,2258
869,52.355018,4.884394,3360
870,52.36756,4.832908,2258
871,52.343739,4.824503,2258
872,52.348148,5.006386,5040
873,52.411538,4.88784,2258
874,52.348783,4.808148,2258
875,52.41684,4.896423,2258
876,52.320405,4.961831,2258
877,52.4132,4.885675,18720
878,52.358235,4.99623,2258
879,52.407006,4.966174,2258
880,52.324871,4.98492,2258
881,52.374194,4.810475,2258
882,52.361692,4.934747,10080
883,52.345562,4.899045,720
884,52.299947,4.995071,0
885,52.306385,5.018268,2258
886,52.355603,4.873937,2160
887,52.396003,4.94092,16320
888,52.374817,4.822259,2258
889,52.350234,4.812591,2258
890,52.342383,4.950512,2258
891,52.424214,4.886741,2258
892,52.330614,4.860904,2258
893,52.328664,4.857084,1920
894,52.326545,4.980343,2258
895,52.342804,4.809488,2258
896,52.348541,4.782952,2258
897,52.344521,4.800264,2640
898,52.390976,4.925987,2258
899,52.366681,4.829483,2258
900,52.382384,4.792846,2258
901,52.348155,4.938979,2258
902,52.348549,4.880622,0
903,52.299948,4.992622,2258
904,52.326735,4.863796,2258
905,52.351248,4.776252,2258
906,52.368207,4.864541,2160
907,52.386185,4.928093,960
908,52.294386,4.987717,52080
909,52.321429,4.96166,2258
910,52.372938,4.805528,2258
911,52.361301,4.8245,2258
912,52.409878,4.901556,2258
913,52.382805,4.837182,2258
914,52.401771,4.91938,2258
915,52.411057,4.888859,2258
916,52.399047,4.95473,2258
917,52.289831,4.970023,2258
918,52.352056,4.862338,1440
919,52.353429,4.910921,13440
920,52.303516,4.969265,2258
921,52.330946,4.873165,45600
922,52.343685,4.873854,2258
923,52.345722,4.787129,2258
924,52.377432,4.942575,38400
925,52.348271,4.938772,2258
926,52.355627,4.99841,2258
927,52.411408,4.904375,2258
928,52.375784,4.830925,2258
929,52.35679,4.936162,2400
930,52.361725,4.933836,11280
